DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-08-21                07:39:32.618              231.98579420              5567.659061               232.98579420              1534837172.619            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9484586666E+000         1.9881752016E+000         4.0040888335E+002         4.1045781026E+002         1.5844350274E+000         1.9557925818E+000         
2018-08-21                07:39:33.565              231.98580515              5567.659324               232.98580515              1534837173.565            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9484586666E+000         1.9881752016E+000         4.0038697079E+002         4.1045781026E+002         1.5844350274E+000         1.9557925818E+000         
2018-08-21                07:39:37.950              231.98585591              5567.660542               232.98585591              1534837177.951            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9484586666E+000         1.9884889049E+000         4.0038697079E+002         4.1044457575E+002         1.5859726393E+000         1.9576051966E+000         
2018-08-21                07:39:39.621              231.98587524              5567.661006               232.98587524              1534837179.621            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9482056351E+000         1.9884889049E+000         4.0038697079E+002         4.1044457575E+002         1.5859726393E+000         1.9576051966E+000         
2018-08-21                07:39:40.569              231.98588623              5567.661269               232.98588623              1534837180.570            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9482056351E+000         1.9884889049E+000         4.0037958029E+002         4.1044457575E+002         1.5859726393E+000         1.9576051966E+000         
2018-08-21                07:39:44.947              231.98593690              5567.662486               232.98593690              1534837184.948            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9482056351E+000         1.9882548780E+000         4.0037958029E+002         4.1044308678E+002         1.5863163434E+000         1.9580103517E+000         
2018-08-21                07:39:46.634              231.98595642              5567.662954               232.98595642              1534837186.635            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9481192440E+000         1.9882548780E+000         4.0037958029E+002         4.1044308678E+002         1.5863163434E+000         1.9580103517E+000         
2018-08-21                07:39:47.579              231.98596736              5567.663217               232.98596736              1534837187.580            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9481192440E+000         1.9882548780E+000         4.0037067884E+002         4.1044308678E+002         1.5863163434E+000         1.9580103517E+000         
2018-08-21                07:39:51.996              231.98601847              5567.664443               232.98601847              1534837191.996            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9481192440E+000         1.9881716063E+000         4.0037067884E+002         4.1043519280E+002         1.5863531652E+000         1.9580537565E+000         
2018-08-21                07:39:53.703              231.98603823              5567.664918               232.98603823              1534837193.703            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9479252128E+000         1.9881716063E+000         4.0037067884E+002         4.1043519280E+002         1.5863531652E+000         1.9580537565E+000         
2018-08-21                07:39:54.664              231.98604935              5567.665184               232.98604935              1534837194.664            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9479252128E+000         1.9881716063E+000         4.0033368413E+002         4.1043519280E+002         1.5863531652E+000         1.9580537565E+000         
2018-08-21                07:39:59.092              231.98610060              5567.666414               232.98610060              1534837199.092            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         1.9479252128E+000         1.9879548950E+000         4.0033368413E+002         4.1039256715E+002         1.5848633054E+000         1.9562974727E+000         
