Core,Treatment,Harvested,DateofInundation,TimeofInundation,,,,Core,Treatment,Date_Inund1,Time_Inund1,Date_Inund2,Time_Inund2,Date_Inund3,Time_Inund3,Harvested
BC2-5,Pre-inundationControl,7/23/2019,NA,NA,,,,BC2-1,InundatedCore,7/24/2018,12:40,8/14/2018,10:25,9/4/2018,12:35,9/6/2019
BC2-7,Pre-inundationControl,7/23/2019,NA,NA,,,,BC2-12,InundatedCore,7/24/2018,12:40,8/14/2018,10:25,9/4/2018,12:35,9/6/2018
BC2-10,Pre-inundationControl,7/23/2019,NA,NA,,,,BC2-11,InundatedCore,7/24/2018,12:40,8/14/2018,10:25,9/4/2018,10:00,9/6/2018
BC2-13,Pre-inundationControl,7/23/2019,NA,NA,,,,BC2-2,InundatedCore,7/24/2018,9:50,8/14/2018,10:25,9/4/2018,10:00,9/6/2018
BC2-15,Pre-inundationControl,7/23/2019,NA,NA,,,,BC2-9,InundatedCore,7/24/2018,9:50,8/14/2018,10:25,9/4/2018,12:35,9/6/2018
BC3-2,Pre-inundationControl,7/23/2019,NA,NA,,,,BC3-10,InundatedCore,7/24/2018,12:40,8/14/2018,13:05,9/4/2018,12:35,9/6/2018
BC3-3,Pre-inundationControl,7/23/2019,NA,NA,,,,BC3-12,InundatedCore,7/24/2018,12:40,8/14/2018,10:25,9/4/2018,12:35,9/6/2018
BC3-4,Pre-inundationControl,7/23/2019,NA,NA,,,,BC3-1,InundatedCore,7/24/2018,15:40,8/14/2018,10:25,9/4/2018,12:35,9/6/2018
BC3-7,Pre-inundationControl,7/23/2019,NA,NA,,,,BC3-4,InundatedCore,7/24/2018,12:40,8/14/2018,13:05,9/4/2018,15:10,9/6/2018
BC3-14,Pre-inundationControl,7/23/2019,NA,NA,,,,BC3-11,InundatedCore,7/24/2018,12:40,8/14/2018,13:05,9/4/2018,12:35,9/6/2018
BC4-3,Pre-inundationControl,7/23/2019,NA,NA,,,,BC4-2,InundatedCore,7/24/2018,15:40,8/14/2018,13:05,9/4/2018,15:10,9/6/2018
BC4-8,Pre-inundationControl,7/23/2019,NA,NA,,,,BC4-14,InundatedCore,7/24/2018,15:40,8/14/2018,13:05,9/4/2018,15:10,9/6/2018
