Core,Date,Time,Run,Headspace,Valve
BC3-5,7/17/18,9:15-10:30AM,1,17.5,1
BC3-3,7/17/18,9:15-10:30AM,1,15,2
BC3-2,7/17/18,9:15-10:30AM,1,16.5,3
BC4-12,7/17/18,9:15-10:30AM,1,17,5
BC2-13,7/17/18,9:15-10:30AM,1,16.5,6
BC4-3,7/17/18,9:15-10:30AM,1,15,7
BC4-8,7/17/18,9:15-10:30AM,1,15,8
BC2-10,7/17/18,9:15-10:30AM,1,17,9
BC2-15,7/17/18,9:15-10:30AM,1,16.5,10
BC2-7,7/17/18,9:15-10:30AM,1,16.5,11
BC2-5,7/17/18,9:15-10:30AM,1,16,12
BC3-14,7/17/18,9:15-10:30AM,1,16,13
BC4-15,7/17/18,9:15-10:30AM,1,15,14
BC4-9,7/17/18,9:15-10:30AM,1,16.5,15
BC14-11,7/17/18,11:01AM-12:06PM,2,15,1
BC3-7,7/17/18,11:01AM-12:06PM,2,16.5,2
BC13-11,7/17/18,11:01AM-12:06PM,2,15,3
BC12-13,7/17/18,11:01AM-12:06PM,2,17,5
BC13-14,7/17/18,11:01AM-12:06PM,2,15,6
BC12-4,7/17/18,11:01AM-12:06PM,2,17,7
BC14-6,7/17/18,11:01AM-12:06PM,2,16,8
BC14-9,7/17/18,11:01AM-12:06PM,2,17,9
BC13-5,7/17/18,11:01AM-12:06PM,2,18,10
BC14-12,7/17/18,11:01AM-12:06PM,2,16,11
BC13-12,7/17/18,11:01AM-12:06PM,2,14.5,12
BC12-14,7/17/18,11:01AM-12:06PM,2,13,13
BC12-1,7/17/18,11:01AM-12:06PM,2,15,14
BC13-13,7/17/18,11:01AM-12:06PM,2,15,15
BC15-2,7/17/18,12:33-2:15PM,3,15,1
BC14-13,7/17/18,12:33-2:15PM,3,15,2
BC15-7,7/17/18,12:33-2:15PM,3,22,3
BC12-3,7/17/18,12:33-2:15PM,3,15,5
BC15-5,7/17/18,12:33-2:15PM,3,15,6
BC13-15,7/17/18,12:33-2:15PM,3,15,7
BC13-8,7/17/18,12:33-2:15PM,3,18,8
BC13-9,7/17/18,12:33-2:15PM,3,19,9
BC13-2,7/17/18,12:33-2:15PM,3,16,10
BC13-15,7/17/18,12:33-2:15PM,3,15,11
BC13-4,7/17/18,12:33-2:15PM,3,17.5,12
BC15-15,7/17/18,12:33-2:15PM,3,16,13
BC3-10,7/17/18,12:33-2:15PM,3,17,14
BC13-7,7/17/18,12:33-2:15PM,3,15,15
BC2-11,7/17/18,2.47-3.55,4,16.5,1
BC2-3,7/17/18,2.47-3.55,4,16,2
BC3-6,7/17/18,2.47-3.55,4,15,3
BC13-3,7/17/18,2.47-3.55,4,17,5
BC2-2,7/17/18,2.47-3.55,4,16.5,6
BC2-11,7/17/18,2.47-3.55,4,16.5,7
BC2-14,7/17/18,2.47-3.55,4,17.5,8
BC2-9,7/17/18,2.47-3.55,4,16,9
BC2-8,7/17/18,2.47-3.55,4,17,10
BC2-12,7/17/18,2.47-3.55,4,17,11
BC13-6,7/17/18,2.47-3.55,4,16.5,12
BC2-4,7/17/18,2.47-3.55,4,17,13
BC15-11,7/17/18,2.47-3.55,4,20,14
BC2-6,7/17/18,2.47-3.55,4,15,15
BC4-10,7/17/18,4.14-5.15,5,15,1
BC4-13,7/17/18,4.14-5.15,5,15.5,2
BC3-15,7/17/18,4.14-5.15,5,16.5,3
BC4-2,7/17/18,4.14-5.15,5,17.5,5
BC4-5,7/17/18,4.14-5.15,5,15,6
BC4-1,7/17/18,4.14-5.15,5,16,7
BC3-12,7/17/18,4.14-5.15,5,15,8
BC3-4,7/17/18,4.14-5.15,5,16.5,9
BC3-10,7/17/18,4.14-5.15,5,17,10
BC3-9,7/17/18,4.14-5.15,5,16.5,11
BC3-11,7/17/18,4.14-5.15,5,17,12
BC3-13,7/17/18,4.14-5.15,5,16.5,13
BC3-1,7/17/18,4.14-5.15,5,18,14
BC3-8,7/17/18,4.14-5.15,5,17,15
BC12-7,7/17/18,5.34-6.35,6,15,1
BC12-9,7/17/18,5.34-6.35,6,17,2
BC12-8,7/17/18,5.34-6.35,6,16.5,3
BC12-11,7/17/18,5.34-6.35,6,15,5
BC12-15,7/17/18,5.34-6.35,6,15,6
BC12-6,7/17/18,5.34-6.35,6,17,7
BC12-10,7/17/18,5.34-6.35,6,17,8
BC4-6,7/17/18,5.34-6.35,6,15,9
BC4-7,7/17/18,5.34-6.35,6,15,10
BC4-14,7/17/18,5.34-6.35,6,15,11
BC4-4,7/17/18,5.34-6.35,6,17,12
BC12-5,7/17/18,5.34-6.35,6,17,13
BC12-12,7/17/18,5.34-6.35,6,15,14
BC4-11,7/17/18,5.34-6.35,6,15,15
BC14-5,7/17/18,6.47-7.50,7,15,1
BC14-15,7/17/18,6.47-7.50,7,15,2
BC14-2,7/17/18,6.47-7.50,7,17,3
BC14-4,7/17/18,6.47-7.50,7,16,5
BC14-1,7/17/18,6.47-7.50,7,15,6
BC12-2,7/17/18,6.47-7.50,7,15.5,7
BC15-9,7/17/18,6.47-7.50,7,19,8
BC14-7,7/17/18,6.47-7.50,7,15,9
BC14-3,7/17/18,6.47-7.50,7,15,10
BC15-8,7/17/18,6.47-7.50,7,19,11
BC15-3,7/17/18,6.47-7.50,7,18,12
