DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-08-10                18:15:10.381              221.42720348              5314.252884               222.42720348              1533924910.381            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1210915523E+000         2.1627001564E+000         5.2817691637E+002         5.4084478226E+002         1.5155901708E+000         1.8744794542E+000         
2018-08-10                18:15:11.957              221.42722174              5314.253322               222.42722174              1533924911.958            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1210452407E+000         2.1627001564E+000         5.2817691637E+002         5.4084478226E+002         1.5155901708E+000         1.8744794542E+000         
2018-08-10                18:15:12.918              221.42723286              5314.253589               222.42723286              1533924912.919            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1210452407E+000         2.1627001564E+000         5.2796518215E+002         5.4084478226E+002         1.5155901708E+000         1.8744794542E+000         
2018-08-10                18:15:16.476              221.42727404              5314.254577               222.42727404              1533924916.477            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1210452407E+000         2.1626632254E+000         5.2796518215E+002         5.4063110372E+002         1.5149038504E+000         1.8736673009E+000         
2018-08-10                18:15:18.095              221.42729278              5314.255027               222.42729278              1533924918.096            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1213417519E+000         2.1626632254E+000         5.2796518215E+002         5.4063110372E+002         1.5149038504E+000         1.8736673009E+000         
2018-08-10                18:15:19.071              221.42730406              5314.255298               222.42730406              1533924919.071            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1213417519E+000         2.1626632254E+000         5.2758802835E+002         5.4063110372E+002         1.5149038504E+000         1.8736673009E+000         
2018-08-10                18:15:22.608              221.42734500              5314.256280               222.42734500              1533924922.608            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1213417519E+000         2.1629599516E+000         5.2758802835E+002         5.4024319681E+002         1.5151895031E+000         1.8740053301E+000         
2018-08-10                18:15:24.203              221.42736346              5314.256723               222.42736346              1533924924.203            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1213023974E+000         2.1629599516E+000         5.2758802835E+002         5.4024319681E+002         1.5151895031E+000         1.8740053301E+000         
2018-08-10                18:15:25.140              221.42737431              5314.256983               222.42737431              1533924925.140            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1213023974E+000         2.1629599516E+000         5.2707581852E+002         5.4024319681E+002         1.5151895031E+000         1.8740053301E+000         
2018-08-10                18:15:28.668              221.42741515              5314.257964               222.42741515              1533924928.669            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1213023974E+000         2.1629404853E+000         5.2707581852E+002         5.3972498228E+002         1.5163812874E+000         1.8754155797E+000         
2018-08-10                18:15:30.255              221.42743351              5314.258404               222.42743351              1533924930.255            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1208948691E+000         2.1629404853E+000         5.2707581852E+002         5.3972498228E+002         1.5163812874E+000         1.8754155797E+000         
2018-08-10                18:15:31.207              221.42744454              5314.258669               222.42744454              1533924931.208            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1208948691E+000         2.1629404853E+000         5.2643819618E+002         5.3972498228E+002         1.5163812874E+000         1.8754155797E+000         
2018-08-10                18:15:34.740              221.42748543              5314.259650               222.42748543              1533924934.741            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1208948691E+000         2.1625098245E+000         5.2643819618E+002         5.3906746131E+002         1.5141071612E+000         1.8727245051E+000         
2018-08-10                18:15:36.335              221.42750388              5314.260093               222.42750388              1533924936.335            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1209590076E+000         2.1625098245E+000         5.2643819618E+002         5.3906746131E+002         1.5141071612E+000         1.8727245051E+000         
2018-08-10                18:15:37.299              221.42751505              5314.260361               222.42751505              1533924937.300            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1209590076E+000         2.1625098245E+000         5.2586304778E+002         5.3906746131E+002         1.5141071612E+000         1.8727245051E+000         
2018-08-10                18:15:40.832              221.42755593              5314.261342               222.42755593              1533924940.832            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.1209590076E+000         2.1625481653E+000         5.2586304778E+002         5.3847030651E+002         1.5144460923E+000         1.8731255985E+000         
