DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2018-09-06                18:12:17.503              248.42520258              5962.204862               249.42520258              1536257537.503            0                         963                       1.0000000000E+000         1.5000000000E+001         0.0000000000E+000         2.0601542066E+000         2.1172487347E+000         7.3817922378E+002         8.1361882484E+002         2.0269565520E+000         2.4713724264E+000         
2018-09-06                18:12:20.127              248.42523295              5962.205591               249.42523295              1536257540.127            0                         963                       3.0000000000E+000         1.5000000000E+001         0.0000000000E+000         2.0601542066E+000         2.1144593652E+000         7.3817922378E+002         7.6197724445E+002         2.0194310256E+000         2.4627042623E+000         
2018-09-06                18:12:23.476              248.42527172              5962.206521               249.42527172              1536257543.477            0                         963                       2.0000000000E+000         1.5097345133E+001         0.0000000000E+000         2.0598008032E+000         2.1144593652E+000         7.3817922378E+002         7.6197724445E+002         2.0194310256E+000         2.4627042623E+000         
2018-09-06                18:12:42.401              248.42549076              5962.211778               249.42549076              1536257562.402            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0598008032E+000         2.1144593652E+000         5.7117206053E+002         7.6197724445E+002         2.0194310256E+000         2.4627042623E+000         
2018-09-06                18:12:45.969              248.42553205              5962.212769               249.42553205              1536257565.969            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0598008032E+000         2.1087669578E+000         5.7117206053E+002         5.8777632554E+002         1.6402348677E+000         2.0214758572E+000         
2018-09-06                18:12:49.894              248.42557748              5962.213859               249.42557748              1536257569.894            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715975537E+000         2.1087669578E+000         5.7117206053E+002         5.8777632554E+002         1.6402348677E+000         2.0214758572E+000         
2018-09-06                18:13:10.329              248.42581400              5962.219536               249.42581400              1536257590.330            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715975537E+000         2.1087669578E+000         4.2312474415E+002         5.8777632554E+002         1.6402348677E+000         2.0214758572E+000         
2018-09-06                18:13:13.757              248.42585368              5962.220488               249.42585368              1536257593.758            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715975537E+000         2.1156970979E+000         4.2312474415E+002         4.3413833802E+002         1.6426354749E+000         2.0242972322E+000         
2018-09-06                18:13:17.301              248.42589469              5962.221473               249.42589469              1536257597.301            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715840625E+000         2.1156970979E+000         4.2312474415E+002         4.3413833802E+002         1.6426354749E+000         2.0242972322E+000         
2018-09-06                18:13:36.173              248.42611311              5962.226715               249.42611311              1536257616.173            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715840625E+000         2.1156970979E+000         4.2249150573E+002         4.3413833802E+002         1.6426354749E+000         2.0242972322E+000         
2018-09-06                18:13:39.726              248.42615425              5962.227702               249.42615425              1536257619.727            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715840625E+000         2.1157610175E+000         4.2249150573E+002         4.3350801108E+002         1.6459069717E+000         2.0281415556E+000         
2018-09-06                18:13:43.375              248.42619647              5962.228715               249.42619647              1536257623.375            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715804428E+000         2.1157610175E+000         4.2249150573E+002         4.3350801108E+002         1.6459069717E+000         2.0281415556E+000         
2018-09-06                18:14:02.986              248.42642346              5962.234163               249.42642346              1536257642.987            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715804428E+000         2.1157610175E+000         4.2235852457E+002         4.3350801108E+002         1.6459069717E+000         2.0281415556E+000         
2018-09-06                18:14:06.450              248.42646354              5962.235125               249.42646354              1536257646.450            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715804428E+000         2.1157581312E+000         4.2235852457E+002         4.3337176471E+002         1.6426946470E+000         2.0243667712E+000         
2018-09-06                18:14:09.845              248.42650285              5962.236068               249.42650285              1536257649.846            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715247992E+000         2.1157581312E+000         4.2235852457E+002         4.3337176471E+002         1.6426946470E+000         2.0243667712E+000         
2018-09-06                18:14:28.760              248.42672177              5962.241322               249.42672177              1536257668.761            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715247992E+000         2.1157581312E+000         4.2225212789E+002         4.3337176471E+002         1.6426946470E+000         2.0243667712E+000         
2018-09-06                18:14:32.313              248.42676289              5962.242309               249.42676289              1536257672.314            0                         963                       3.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0715247992E+000         2.1155407394E+000         4.2225212789E+002         4.3322253761E+002         1.6341858756E+000         2.0143650063E+000         
2018-09-06                18:14:35.954              248.42680503              5962.243321               249.42680503              1536257675.955            0                         963                       2.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0718868870E+000         2.1155407394E+000         4.2225212789E+002         4.3322253761E+002         1.6341858756E+000         2.0143650063E+000         
2018-09-06                18:14:55.605              248.42703247              5962.248779               249.42703247              1536257695.605            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         2.0718868870E+000         2.1155407394E+000         4.2212019921E+002         4.3322253761E+002         1.6341858756E+000         2.0143650063E+000         
