Core,Date,Soil+Sleeve Wet Weight (g),Soil wet weight (g)
BC3-5,7/17/18,326.1,245.92
BC3-3,7/17/18,319.2,239.02
BC3-2,7/17/18,309,228.82
BC4-12,7/17/18,290.4,210.22
BC2-13,7/17/18,344.1,263.92
BC4-3,7/17/18,261,180.82
BC4-8,7/17/18,344,263.82
BC2-10,7/17/18,346.5,266.32
BC2-15,7/17/18,319,238.82
BC2-7,7/17/18,340.5,260.32
BC2-5,7/17/18,361.7,281.52
BC3-14,7/17/18,319.9,239.72
BC4-15,7/17/18,285.7,205.52
BC4-9,7/17/18,297.5,217.32
BC14-11,7/17/18,333.5,253.32
BC3-7,7/17/18,332,251.82
BC13-11,7/17/18,326.4,246.22
BC12-13,7/17/18,344.1,263.92
BC13-14,7/17/18,324.2,244.02
BC12-4,7/17/18,245.2,165.02
BC14-6,7/17/18,325.8,245.62
BC14-9,7/17/18,325.6,245.42
BC13-5,7/17/18,328.7,248.52
BC14-12,7/17/18,292.9,212.72
BC13-12,7/17/18,308.6,228.42
BC12-14,7/17/18,371.6,291.42
BC12-1,7/17/18,326.9,246.72
BC13-13,7/17/18,306.7,226.52
BC15-2,7/17/18,306.6,226.42
BC14-13,7/17/18,303.4,223.22
BC15-7,7/17/18,160.1,79.92
BC12-3,7/17/18,302.4,222.22
BC15-5,7/17/18,272.8,192.62
BC13-15,7/17/18,366.9,286.72
BC13-8,7/17/18,318.8,238.62
BC13-9,7/17/18,327.5,247.32
BC13-2,7/17/18,349.6,269.42
BC13-15,7/17/18,366.9,286.72
BC13-4,7/17/18,347.7,267.52
BC15-15,7/17/18,247.3,167.12
BC3-10,7/17/18,292.8,212.62
BC13-7,7/17/18,319,238.82
BC2-11,7/17/18,340.4,260.22
BC2-3,7/17/18,324.5,244.32
BC3-6,7/17/18,329.4,249.22
BC13-3,7/17/18,326.3,246.12
BC2-2,7/17/18,311.8,231.62
BC2-11,7/17/18,340.4,260.22
BC2-14,7/17/18,321.5,241.32
BC2-9,7/17/18,346.5,266.32
BC2-8,7/17/18,347.2,267.02
BC2-12,7/17/18,347.7,267.52
BC13-6,7/17/18,332.9,252.72
BC2-4,7/17/18,325.9,245.72
BC15-11,7/17/18,204.4,124.22
BC2-6,7/17/18,332.1,251.92
BC4-10,7/17/18,342.5,262.32
BC4-13,7/17/18,329.9,249.72
BC3-15,7/17/18,335.3,255.12
BC4-2,7/17/18,300.4,220.22
BC4-5,7/17/18,337.3,257.12
BC4-1,7/17/18,363.1,282.92
BC3-12,7/17/18,333.1,252.92
BC3-4,7/17/18,352.4,272.22
BC3-10,7/17/18,292.8,212.62
BC3-9,7/17/18,354.7,274.52
BC3-11,7/17/18,330.3,250.12
BC3-13,7/17/18,338.6,258.42
BC3-1,7/17/18,339.3,259.12
BC3-8,7/17/18,336.6,256.42
BC12-7,7/17/18,348.5,268.32
BC12-9,7/17/18,339.8,259.62
BC12-8,7/17/18,343,262.82
BC12-11,7/17/18,381.9,301.72
BC12-15,7/17/18,382.3,302.12
BC12-6,7/17/18,344.6,264.42
BC12-10,7/17/18,356.7,276.52
BC4-6,7/17/18,347,266.82
BC4-7,7/17/18,288.6,208.42
BC4-14,7/17/18,321.4,241.22
BC4-4,7/17/18,294.6,214.42
BC12-5,7/17/18,359,278.82
BC12-12,7/17/18,354.8,274.62
BC4-11,7/17/18,299.9,219.72
BC14-5,7/17/18,307.3,227.12
BC14-15,7/17/18,364.5,284.32
BC14-2,7/17/18,323.9,243.72
BC14-4,7/17/18,309.9,229.72
BC14-1,7/17/18,332.2,252.02
BC12-2,7/17/18,342.9,262.72
BC15-9,7/17/18,194.8,114.62
BC14-7,7/17/18,360.6,280.42
BC14-3,7/17/18,382.8,302.62
BC15-8,7/17/18,214.1,133.92
BC15-3,7/17/18,200.1,119.92
BC14-14,7/17/18,341.83,261.65
BC14-10,7/17/18,315.1,234.92
BC14-8,7/17/18,320.3,240.12
BC15-13,7/17/18,252.8,172.62
BC15-12,7/17/18,267.3,187.12
BC15-6,7/17/18,237.2,157.02
BC15-10,7/17/18,238.3,158.12
BC15-1,7/17/18,306.7,226.52
BC15-4,7/17/18,229.9,149.72
BC15-14,7/17/18,229.9,149.72
BC2-13,7/19/18,344.1,263.92
BC2-15,7/19/18,319,238.82
BC3-5,7/19/18,326.1,245.92
BC2-7,7/19/18,340.5,260.32
BC2-5,7/19/18,361.7,281.52
BC2-10,7/19/18,346.5,266.32
BC3-7,7/19/18,332,251.82
BC4-3,7/19/18,261,180.82
BC3-2,7/19/18,309,228.82
BC3-3,7/19/18,319.2,239.02
BC4-9,7/19/18,297.5,217.32
BC4-8,7/19/18,344,263.82
BC3-14,7/19/18,319.9,239.72
BC4-15,7/19/18,285.7,205.52
BC4-12,7/19/18,290.4,210.22
BC12-14,7/19/18,371.6,291.42
BC12-4,7/19/18,245.2,165.02
BC13-14,7/19/18,324.2,244.02
BC13-11,7/19/18,326.4,246.22
BC12-3,7/19/18,302.4,222.22
BC13-5,7/19/18,328.7,248.52
BC13-12,7/19/18,308.6,228.42
BC14-13,7/19/18,303.4,223.22
BC13-13,7/19/18,306.7,226.52
BC14-11,7/19/18,333.5,253.32
BC12-14,7/19/18,371.6,291.42
BC12-13,7/19/18,344.1,263.92
BC14-9,7/19/18,325.6,245.42
BC13-4,7/19/18,347.7,267.52
BC13-1,7/19/18,313.7,233.52
BC13-7,7/19/18,319,238.82
BC13-3,7/19/18,326.3,246.12
BC14-6,7/19/18,325.8,245.62
BC13-9,7/19/18,327.5,247.32
BC13-8,7/19/18,318.8,238.62
BC15-7,7/19/18,160.1,79.92
BC15-2,7/19/18,306.6,226.42
BC13-2,7/19/18,349.6,269.42
BC15-5,7/19/18,272.8,192.62
BC14-12,7/19/18,292.9,212.72
BC15-11,7/19/18,204.4,124.22
BC15-15,7/19/18,247.3,167.12
BC2-14,7/19/18,321.5,241.32
BC3-12,7/19/18,333.1,252.92
BC2-9,7/19/18,346.5,266.32
BC13-15,7/19/18,366.9,286.72
BC13-6,7/19/18,332.9,252.72
BC13-10,7/19/18,342.8,262.62
BC3-6,7/19/18,329.4,249.22
BC2-8,7/19/18,347.2,267.02
BC2-2,7/19/18,311.8,231.62
BC2-4,7/19/18,325.9,245.72
BC2-6,7/19/18,332.1,251.92
BC2-1,7/19/18,250.5,170.32
BC2-3,7/19/18,324.5,244.32
BC2-11,7/19/18,340.4,260.22
BC3-4,7/19/18,352.4,272.22
BC3-9,7/19/18,354.7,274.52
BC3-10,7/19/18,292.8,212.62
BC3-11,7/19/18,330.3,250.12
BC3-1,7/19/18,339.3,259.12
BC4-14,7/19/18,321.4,241.22
BC4-1,7/19/18,363.1,282.92
BC4-10,7/19/18,342.5,262.32
BC3-13,7/19/18,338.6,258.42
BC4-4,7/19/18,294.6,214.42
BC3-15,7/19/18,335.3,255.12
BC4-13,7/19/18,329.9,249.72
BC3-12,7/19/18,333.1,252.92
BC3-8,7/19/18,336.6,256.42
BC12-11,7/19/18,381.9,301.72
BC12-12,7/19/18,354.8,274.62
BC12-10,7/19/18,356.7,276.52
BC12-6,7/19/18,344.6,264.42
BC12-5,7/19/18,359,278.82
BC4-11,7/19/18,299.9,219.72
BC12-9,7/19/18,339.8,259.62
BC12-7,7/19/18,348.5,268.32
BC4-2,7/19/18,300.4,220.22
BC4-6,7/19/18,347,266.82
BC12-8,7/19/18,343,262.82
BC12-2,7/19/18,342.9,262.72
BC4-7,7/19/18,288.6,208.42
BC12-15,7/19/18,382.3,302.12
BC14-3,7/19/18,382.8,302.62
BC14-15,7/19/18,364.5,284.32
BC4-5,7/19/18,337.3,257.12
BC14-7,7/19/18,360.6,280.42
BC14-4,7/19/18,309.9,229.72
BC14-8,7/19/18,320.3,240.12
BC15-1,7/19/18,306.7,226.52
BC14-1,7/19/18,332.2,252.02
BC14-14,7/19/18,341.83,261.65
BC14-8,7/19/18,320.3,240.12
BC14-10,7/19/18,315.1,234.92
**,7/19/18,,-80.18
BC15-8,7/19/18,214.1,133.92
BC15-9,7/19/18,194.8,114.62
BC15-12,7/19/18,267.3,187.12
BC15-14,7/19/18,229.9,149.72
BC15-4,7/19/18,229.9,149.72
BC15-3,7/19/18,200.1,119.92
BC15-13,7/19/18,252.8,172.62
BC14-5,7/19/18,307.3,227.12
BC15-10,7/19/18,238.3,158.12
BC15-6,7/19/18,237.2,157.02
BC2-5,7/21/18,359.3,279.12
BC4-5,7/21/18,335.7,255.52
BC4-15,7/21/18,281.3,201.12
BC2-7,7/21/18,340,259.82
BC2-10,7/21/18,346.3,266.12
BC2-15,7/21/18,318.6,238.42
BC2-13,7/21/18,346.2,266.02
BC3-2,7/21/18,308.7,228.52
BC3-5,7/21/18,325.5,245.32
BC4-9,7/21/18,296.5,216.32
BC3-3,7/21/18,318.9,238.72
BC3-7,7/21/18,333.2,253.02
BC3-14,7/21/18,321.5,241.32
BC4-12,7/21/18,385.8,305.62
BC12-14,7/21/18,368.9,288.72
BC12-13,7/21/18,344,263.82
BC12-4,7/21/18,345.1,264.92
BC13-12,7/21/18,308.4,228.22
BC13-14,7/21/18,324.2,244.02
BC13-11,7/21/18,325.8,245.62
BC4-8,7/21/18,341.4,261.22
BC13-13,7/21/18,306.6,226.42
BC14-6,7/21/18,324.9,244.72
BC14-13,7/21/18,301.3,221.12
BC13-15,7/21/18,365.3,285.12
BC14-11,7/21/18,328.9,248.72
BC12-1,7/21/18,326.4,246.22
BC14-12,7/21/18,290.8,210.62
BC12-3,7/21/18,300.1,219.92
BC15-14,7/21/18,227.1,146.92
BC15-8,7/21/18,217.7,137.52
BC14-9,7/21/18,228,147.82
BC15-15,7/21/18,246.6,166.42
BC15-12,7/21/18,272.5,192.32
BC15-7,7/21/18,149.9,69.72
BC15-13,7/21/18,254.6,174.42
BC15-1,7/21/18,306.8,226.62
BC15-10,7/21/18,240.7,160.52
BC15-6,7/21/18,239.9,159.72
BC15-4,7/21/18,233,152.82
BC15-3,7/21/18,199.7,119.52
BC15-9,7/21/18,191.8,111.62
BC13-3,7/21/18,327.2,247.02
BC13-4,7/21/18,346.7,266.52
BC2-2,7/21/18,315,234.82
BC13-15,7/21/18,365.3,285.12
BC13-15,7/21/18,365.3,285.12
BC13-6,7/21/18,332.3,252.12
BC13-8,7/21/18,317.8,237.62
BC13-9,7/21/18,326.5,246.32
BC13-2,7/21/18,349.5,269.32
BC15-2,7/21/18,306,225.82
BC15-11,7/21/18,203.7,123.52
BC13-7,7/21/18,318.5,238.32
BC13-10,7/21/18,141.9,61.72
BC15-5,7/21/18,271.6,191.42
BC2-6,7/21/18,335.2,255.02
BC2-3,7/21/18,327.9,247.72
BC12-11,7/21/18,382.6,302.42
BC2-12,7/21/18,346.1,265.92
BC2-4,7/21/18,325.9,245.72
BC2-12,7/21/18,346.1,265.92
BC2-14,7/21/18,323.6,243.42
BC3-8,7/21/18,335.3,255.12
BC3-1,7/21/18,341.4,261.22
BC2-9,7/21/18,347.2,267.02
BC3-15,7/21/18,338,257.82
BC2-8,7/21/18,350.6,270.42
BC3-9,7/21/18,355.1,274.92
BC3-4,7/21/18,354.2,274.02
BC4-7,7/21/18,286.3,206.12
BC4-2,7/21/18,298.9,218.72
BC4-4,7/21/18,294.9,214.72
BC4-6,7/21/18,343.2,263.02
BC4-13,7/21/18,326.3,246.12
BC4-14,7/21/18,318.4,238.22
BC4-1,7/21/18,359,278.82
BC3-13,7/21/18,340.7,260.52
BC3-6,7/21/18,329.7,249.52
BC4-5,7/21/18,335.7,255.52
BC4-10,7/21/18,339.8,259.62
BC3-11,7/21/18,333.1,252.92
BC3-12,7/21/18,333.4,253.22
BC3-10,7/21/18,298.4,218.22
BC14-7,7/21/18,360.8,280.62
BC12-6,7/21/18,342.5,262.32
BC14-2,7/21/18,323.4,243.22
BC14-4,7/21/18,310.3,230.12
BC12-15,7/21/18,384,303.82
BC12-11,7/21/18,382.6,302.42
